,date,iso_code,total_cases_per_million,people_vaccinated_per_hundred,median_age,icu_patients_per_million,total_deaths_per_million
42572,2021-04-12,FIN,14829.243999999999,20.44,42.8,7.57,157.524
42573,2021-04-13,FIN,14880.791000000001,21.45,42.8,6.849,158.065
42575,2021-04-15,FIN,15004.972,22.18,42.8,6.669,159.507
42576,2021-04-16,FIN,15073.46,22.85,42.8,6.127999999999999,159.86700000000002
42579,2021-04-19,FIN,15191.333,23.82,42.8,6.127999999999999,160.588
42580,2021-04-20,FIN,15229.903,24.27,42.8,6.4879999999999995,160.94799999999998
42581,2021-04-21,FIN,15283.252,25.79,42.8,6.308,162.03
42583,2021-04-23,FIN,15381.84,26.77,42.8,5.587000000000001,162.751
42587,2021-04-27,FIN,15529.09,27.92,42.8,5.767,163.65200000000002
42588,2021-04-28,FIN,15573.067,28.8,42.8,5.9479999999999995,164.19299999999998
42590,2021-04-30,FIN,15645.701000000001,30.0,42.8,5.587000000000001,164.733
42593,2021-05-03,FIN,15742.487,30.61,42.8,5.047,164.91400000000002
42594,2021-05-04,FIN,15775.65,31.06,42.8,5.227,165.09400000000002
42595,2021-05-05,FIN,15824.133,32.53,42.8,4.3260000000000005,165.454
42597,2021-05-07,FIN,15920.377,34.31,42.8,5.047,166.175
42600,2021-05-10,FIN,16016.622,35.05,42.8,4.686,166.175
42601,2021-05-11,FIN,16038.971000000001,36.31,42.8,4.686,167.076
42604,2021-05-14,FIN,16164.413,37.71,42.8,5.047,167.797
42607,2021-05-17,FIN,16265.885,38.45,42.8,4.8660000000000005,168.158
42609,2021-05-19,FIN,16344.827,38.96,42.8,4.686,167.437
42610,2021-05-20,FIN,16391.506999999998,39.68,42.8,5.047,167.437
42611,2021-05-21,FIN,16429.537,40.86,42.8,5.047,167.97799999999998
42615,2021-05-25,FIN,16535.334,42.27,42.8,3.2439999999999998,169.78
42616,2021-05-26,FIN,16574.985,42.82,42.8,3.2439999999999998,170.50099999999998
42618,2021-05-28,FIN,16625.45,43.92,42.8,3.605,170.861
42621,2021-05-31,FIN,16669.427,44.27,42.8,3.0639999999999996,172.303
42623,2021-06-02,FIN,16720.253,45.26,42.8,2.523,172.84400000000002
42630,2021-06-09,FIN,16855.428,48.5,42.8,1.262,172.84400000000002
42637,2021-06-16,FIN,16946.626,52.2,42.8,2.1630000000000003,174.28599999999997
42644,2021-06-23,FIN,17049.359,56.38,42.8,0.9009999999999999,174.646
