,Entity,Code,Day,facial_coverings,restriction_gatherings
104889,Sudan,SDN,2021-10-13,4.0,
104890,Sudan,SDN,2021-10-14,4.0,
104891,Sudan,SDN,2021-10-15,4.0,
104892,Sudan,SDN,2021-10-16,4.0,
104893,Sudan,SDN,2021-10-17,4.0,
104894,Sudan,SDN,2021-10-18,4.0,
109962,Thailand,THA,2021-02-10,2.0,
109963,Thailand,THA,2021-02-11,2.0,
109964,Thailand,THA,2021-02-12,2.0,
109965,Thailand,THA,2021-02-13,2.0,
109966,Thailand,THA,2021-02-14,2.0,
109967,Thailand,THA,2021-02-15,2.0,
109968,Thailand,THA,2021-02-16,2.0,
109969,Thailand,THA,2021-02-17,2.0,
109970,Thailand,THA,2021-02-18,2.0,
109971,Thailand,THA,2021-02-19,2.0,
109972,Thailand,THA,2021-02-20,2.0,
109973,Thailand,THA,2021-02-21,2.0,
109974,Thailand,THA,2021-02-22,2.0,
112762,Trinidad and Tobago,TTO,2021-05-31,4.0,
112763,Trinidad and Tobago,TTO,2021-06-01,4.0,
112764,Trinidad and Tobago,TTO,2021-06-02,4.0,
112765,Trinidad and Tobago,TTO,2021-06-03,4.0,
112766,Trinidad and Tobago,TTO,2021-06-04,4.0,
112767,Trinidad and Tobago,TTO,2021-06-05,4.0,
112768,Trinidad and Tobago,TTO,2021-06-06,4.0,
124287,Angola,AGO,2020-10-21,,4.0
124288,Aruba,ABW,2020-08-27,,4.0
124289,Bahrain,BHR,2021-01-05,,4.0
124290,Bahrain,BHR,2021-01-06,,4.0
124291,Bahrain,BHR,2021-01-07,,4.0
124292,Bahrain,BHR,2021-01-08,,4.0
124293,Bahrain,BHR,2021-01-09,,4.0
124294,Bahrain,BHR,2021-01-10,,4.0
124295,Bahrain,BHR,2021-01-11,,4.0
124296,Bahrain,BHR,2021-01-12,,4.0
124297,Bahrain,BHR,2021-01-13,,4.0
124298,Bahrain,BHR,2021-01-14,,4.0
124299,Bahrain,BHR,2021-01-15,,4.0
124300,Bahrain,BHR,2021-01-16,,4.0
124301,Bahrain,BHR,2021-01-17,,4.0
124302,Bahrain,BHR,2021-01-18,,4.0
124303,Bolivia,BOL,2021-10-13,,4.0
124304,Bolivia,BOL,2021-10-14,,4.0
124305,Bolivia,BOL,2021-10-15,,4.0
124306,Bolivia,BOL,2021-10-16,,4.0
124307,Bolivia,BOL,2021-10-17,,4.0
124308,Bolivia,BOL,2021-10-18,,4.0
124309,Bolivia,BOL,2021-10-19,,4.0
124310,Bolivia,BOL,2021-10-20,,4.0
124311,Bolivia,BOL,2021-10-21,,4.0
124312,Bolivia,BOL,2021-10-22,,4.0
124313,Bolivia,BOL,2021-10-23,,4.0
124314,Bolivia,BOL,2021-10-24,,4.0
124315,Bolivia,BOL,2021-10-25,,4.0
124316,Bolivia,BOL,2021-10-26,,4.0
124317,Bolivia,BOL,2021-10-27,,4.0
124318,Bolivia,BOL,2021-10-28,,4.0
124319,Bolivia,BOL,2021-10-29,,4.0
124320,Bolivia,BOL,2021-10-30,,4.0
124321,Bolivia,BOL,2021-10-31,,4.0
124322,Burkina Faso,BFA,2021-04-26,,0.0
124323,Burkina Faso,BFA,2021-04-27,,0.0
124324,Burkina Faso,BFA,2021-04-28,,0.0
124325,Burkina Faso,BFA,2021-04-29,,0.0
124326,Burkina Faso,BFA,2021-04-30,,0.0
124327,Burkina Faso,BFA,2021-05-01,,0.0
124328,Burkina Faso,BFA,2021-05-02,,0.0
124329,Burkina Faso,BFA,2021-05-03,,0.0
124330,Burkina Faso,BFA,2021-05-04,,0.0
124331,Burkina Faso,BFA,2021-05-05,,0.0
124332,Burkina Faso,BFA,2021-05-06,,0.0
124333,Burkina Faso,BFA,2021-05-07,,0.0
124334,Burkina Faso,BFA,2021-05-08,,0.0
124335,Burkina Faso,BFA,2021-05-09,,0.0
124336,Burkina Faso,BFA,2021-05-10,,0.0
124337,Cote d'Ivoire,CIV,2020-09-01,,2.0
124338,Cote d'Ivoire,CIV,2020-09-02,,2.0
124339,Cote d'Ivoire,CIV,2020-09-03,,2.0
124340,Cote d'Ivoire,CIV,2020-09-04,,2.0
124341,Cote d'Ivoire,CIV,2020-09-05,,2.0
124342,Cote d'Ivoire,CIV,2020-09-06,,2.0
124343,Cote d'Ivoire,CIV,2020-09-07,,2.0
124344,Cote d'Ivoire,CIV,2020-09-08,,2.0
124345,Cote d'Ivoire,CIV,2020-09-09,,2.0
124346,Democratic Republic of Congo,COD,2021-01-20,,0.0
124347,Democratic Republic of Congo,COD,2021-01-21,,0.0
124348,Democratic Republic of Congo,COD,2021-01-22,,0.0
124349,Democratic Republic of Congo,COD,2021-01-23,,0.0
124350,Democratic Republic of Congo,COD,2021-01-24,,0.0
124351,Democratic Republic of Congo,COD,2021-01-25,,0.0
124352,Democratic Republic of Congo,COD,2021-01-26,,0.0
124353,Democratic Republic of Congo,COD,2021-01-27,,0.0
124354,Democratic Republic of Congo,COD,2021-01-28,,0.0
124355,Democratic Republic of Congo,COD,2021-01-29,,0.0
124356,Democratic Republic of Congo,COD,2021-01-30,,0.0
124357,Democratic Republic of Congo,COD,2021-01-31,,0.0
124358,Democratic Republic of Congo,COD,2021-02-01,,0.0
124359,Dominica,DMA,2020-10-29,,2.0
124360,Dominica,DMA,2020-10-30,,2.0
124361,Dominica,DMA,2020-10-31,,2.0
124362,Dominica,DMA,2020-11-01,,2.0
124363,Dominica,DMA,2020-11-02,,2.0
124364,Dominica,DMA,2020-11-03,,2.0
124365,Dominica,DMA,2020-11-04,,2.0
124366,Dominica,DMA,2020-11-05,,2.0
124367,Dominica,DMA,2020-11-06,,2.0
124368,Dominica,DMA,2020-11-07,,2.0
124369,Dominica,DMA,2020-11-08,,2.0
124370,Dominica,DMA,2020-11-09,,2.0
124371,Guinea,GIN,2020-11-10,,3.0
124372,Hong Kong,HKG,2020-05-10,,3.0
124373,Moldova,MDA,2021-07-22,,4.0
124374,Moldova,MDA,2021-07-23,,4.0
124375,Moldova,MDA,2021-07-24,,4.0
124376,Moldova,MDA,2021-07-25,,4.0
124377,Moldova,MDA,2021-07-26,,4.0
124378,Moldova,MDA,2021-07-27,,4.0
124379,Moldova,MDA,2021-07-28,,4.0
124380,Moldova,MDA,2021-07-29,,4.0
124381,Moldova,MDA,2021-07-30,,4.0
124382,Moldova,MDA,2021-07-31,,4.0
