Entity,Code,Day,testing_policy,vaccination_policy,facial_coverings,restriction_gatherings,stay_home_requirements,total_cases,new_cases
Romania,ROU,30/3/20,1,0,0,4,2,2109,294
Romania,ROU,31/3/20,1,0,0,4,2,2245,136
Romania,ROU,1/4/20,1,0,0,4,2,2460,215
Romania,ROU,2/4/20,1,0,0,4,2,2738,278
Romania,ROU,3/4/20,1,0,0,4,2,3183,445
Romania,ROU,4/4/20,1,0,0,4,2,3613,430
Romania,ROU,5/4/20,1,0,0,4,2,3864,251
Romania,ROU,6/4/20,1,0,0,4,2,4057,193
Romania,ROU,7/4/20,1,0,0,4,2,4417,360
Romania,ROU,8/4/20,1,0,0,4,2,4761,344
Romania,ROU,9/4/20,1,0,0,4,2,5202,441
Romania,ROU,10/4/20,1,0,0,4,2,5467,265
Romania,ROU,11/4/20,1,0,0,4,2,5990,523
Romania,ROU,12/4/20,1,0,0,4,2,6300,310
Romania,ROU,13/4/20,1,0,0,4,2,6633,333
Romania,ROU,14/4/20,1,0,0,4,2,6879,246
Romania,ROU,15/4/20,1,0,0,4,2,7216,337
Romania,ROU,16/4/20,1,0,0,4,2,7707,491
Romania,ROU,17/4/20,1,0,0,4,2,8067,360
Romania,ROU,18/4/20,1,0,0,4,2,8418,351
Romania,ROU,19/4/20,1,0,0,4,2,8746,328
Romania,ROU,20/4/20,1,0,0,4,2,8936,190
Romania,ROU,21/4/20,1,0,0,4,2,9242,306
Romania,ROU,22/4/20,1,0,0,4,2,9710,468
Romania,ROU,23/4/20,1,0,0,4,2,10096,386
Romania,ROU,24/4/20,1,0,0,4,2,10417,321
Romania,ROU,25/4/20,1,0,0,4,2,10635,218
Romania,ROU,26/4/20,1,0,0,4,2,11036,401
Romania,ROU,27/4/20,1,0,0,4,2,11339,303
Romania,ROU,28/4/20,2,0,0,4,2,11616,277
Romania,ROU,29/4/20,2,0,0,4,2,11978,362
Romania,ROU,30/4/20,2,0,0,4,2,12240,262
Romania,ROU,1/5/20,2,0,0,4,2,12567,327
Romania,ROU,2/5/20,2,0,0,4,2,12732,165
Romania,ROU,3/5/20,2,0,0,4,2,13163,431
Romania,ROU,4/5/20,2,0,0,4,2,13512,349
Romania,ROU,5/5/20,2,0,0,4,2,13837,325
Romania,ROU,6/5/20,2,0,0,4,2,14107,270
Romania,ROU,7/5/20,2,0,0,4,2,14499,392
Romania,ROU,8/5/20,2,0,0,4,2,14811,312
Romania,ROU,9/5/20,2,0,0,4,2,15131,320
Romania,ROU,10/5/20,2,0,0,4,2,15362,231
Romania,ROU,11/5/20,2,0,0,4,2,15588,226
Romania,ROU,12/5/20,2,0,0,4,2,15778,190
Romania,ROU,13/5/20,2,0,0,4,2,16002,224
Romania,ROU,14/5/20,2,0,0,4,2,16247,245
Romania,ROU,15/5/20,2,0,0,4,2,16437,190
Romania,ROU,16/5/20,2,0,0,4,1,16704,267
Romania,ROU,17/5/20,2,0,0,4,1,16871,167
Romania,ROU,18/5/20,2,0,0,4,1,17036,165
Romania,ROU,19/5/20,2,0,0,4,1,17191,155
Romania,ROU,20/5/20,2,0,0,4,1,17387,196
Romania,ROU,21/5/20,2,0,0,4,1,17585,198
Romania,ROU,22/5/20,2,0,0,4,1,17712,127
Romania,ROU,23/5/20,2,0,0,4,1,17857,145
Romania,ROU,24/5/20,2,0,0,4,1,18070,213
Romania,ROU,25/5/20,2,0,0,4,1,18283,213
Romania,ROU,26/5/20,2,0,0,4,1,18429,146
Romania,ROU,27/5/20,2,0,0,4,1,18594,165
Romania,ROU,28/5/20,2,0,0,4,1,18791,197
Romania,ROU,29/5/20,2,0,0,4,1,18982,191
Romania,ROU,30/5/20,2,0,0,4,1,19133,151
Romania,ROU,31/5/20,2,0,0,4,1,19257,124
Romania,ROU,1/6/20,2,0,0,2,0,19398,141
Romania,ROU,2/6/20,2,0,0,2,0,19517,119
Romania,ROU,3/6/20,2,0,0,2,0,19669,152
Romania,ROU,4/6/20,2,0,0,2,0,19907,238
Romania,ROU,5/6/20,2,0,0,2,0,20103,196
Romania,ROU,6/6/20,2,0,0,2,0,20290,187
Romania,ROU,7/6/20,2,0,0,2,0,20479,189
Romania,ROU,8/6/20,2,0,0,2,0,20604,125
Romania,ROU,9/6/20,2,0,0,2,0,20749,145
Romania,ROU,10/6/20,2,0,0,2,0,20945,196
Romania,ROU,11/6/20,2,0,0,2,0,21182,237
Romania,ROU,12/6/20,2,0,0,2,0,21404,222
Romania,ROU,13/6/20,2,0,0,2,0,21679,275
Romania,ROU,14/6/20,2,0,0,2,0,21999,320
Romania,ROU,15/6/20,2,0,0,2,0,22165,166
Romania,ROU,16/6/20,2,0,0,2,0,22415,250
Romania,ROU,17/6/20,2,0,0,2,0,22760,345
Romania,ROU,18/6/20,2,0,0,2,0,23080,320
Romania,ROU,19/6/20,2,0,0,2,0,23400,320
Romania,ROU,20/6/20,2,0,0,2,0,23730,330
Romania,ROU,21/6/20,2,0,0,2,0,24045,315
Romania,ROU,22/6/20,2,0,0,2,0,24291,246
Romania,ROU,23/6/20,2,0,0,2,0,24505,214
Romania,ROU,24/6/20,2,0,0,2,0,24826,321
Romania,ROU,25/6/20,2,0,0,2,0,25286,460
Romania,ROU,26/6/20,2,0,0,2,0,25697,411
Romania,ROU,27/6/20,2,0,0,2,0,26022,325
Romania,ROU,28/6/20,2,0,0,2,0,26313,291
Romania,ROU,29/6/20,2,0,0,2,0,26582,269
Romania,ROU,30/6/20,2,0,0,2,0,26970,388
Romania,ROU,1/7/20,2,0,0,2,0,27296,326
Romania,ROU,2/7/20,2,0,0,2,0,27746,450
Romania,ROU,3/7/20,2,0,0,2,0,28166,420
Romania,ROU,4/7/20,2,0,0,2,0,28582,416
Romania,ROU,5/7/20,2,0,0,2,0,28973,391
Romania,ROU,6/7/20,2,0,0,2,0,29223,250
Romania,ROU,7/7/20,2,0,0,2,0,29620,397
Romania,ROU,8/7/20,2,0,0,2,1,30175,555
Romania,ROU,9/7/20,2,0,0,2,1,30789,614
Romania,ROU,10/7/20,2,0,0,2,1,31381,592
Romania,ROU,11/7/20,2,0,0,2,1,32079,698
Romania,ROU,12/7/20,2,0,0,2,1,32535,456
Romania,ROU,13/7/20,2,0,0,2,1,32948,413
Romania,ROU,14/7/20,2,0,0,2,1,33585,637
Romania,ROU,15/7/20,2,0,0,2,1,34226,641
Romania,ROU,16/7/20,2,0,0,2,1,35003,777
Romania,ROU,17/7/20,2,0,0,2,1,35802,799
Romania,ROU,18/7/20,2,0,0,2,1,36691,889
Romania,ROU,19/7/20,2,0,0,2,1,37458,767
Romania,ROU,20/7/20,2,0,0,2,1,38139,681
Romania,ROU,21/7/20,2,0,0,2,1,39133,994
Romania,ROU,22/7/20,2,0,0,2,1,40163,1030
Romania,ROU,23/7/20,2,0,0,2,1,41275,1112
Romania,ROU,24/7/20,2,0,0,2,1,42394,1119
Romania,ROU,25/7/20,2,0,0,2,1,43678,1284
Romania,ROU,26/7/20,2,0,0,2,1,44798,1120
Romania,ROU,27/7/20,2,0,0,2,1,45902,1104
Romania,ROU,28/7/20,2,0,0,2,1,47053,1151
